"Region","Year","Number_of_Vehicles","Vehicle_Type"
"Västra Götalands län","2019",2683,"buses"
"Västra Götalands län","2020",2815,"buses"
"Västra Götalands län","2021",2892,"buses"
"Västra Götalands län","2022",3005,"buses"
"Västra Götalands län","2002",30567,"motorcycles"
"Västra Götalands län","2003",32874,"motorcycles"
"Västra Götalands län","2004",35956,"motorcycles"
"Västra Götalands län","2005",39401,"motorcycles"
"Västra Götalands län","2006",42425,"motorcycles"
"Västra Götalands län","2007",44440,"motorcycles"
"Västra Götalands län","2008",46149,"motorcycles"
"Västra Götalands län","2009",47302,"motorcycles"
"Västra Götalands län","2010",47396,"motorcycles"
"Västra Götalands län","2011",47947,"motorcycles"
"Västra Götalands län","2012",49005,"motorcycles"
"Västra Götalands län","2013",49414,"motorcycles"
"Västra Götalands län","2014",50455,"motorcycles"
"Västra Götalands län","2015",51101,"motorcycles"
"Västra Götalands län","2016",51989,"motorcycles"
"Västra Götalands län","2017",52067,"motorcycles"
"Västra Götalands län","2018",52317,"motorcycles"
"Västra Götalands län","2019",52461,"motorcycles"
"Västra Götalands län","2020",53803,"motorcycles"
"Västra Götalands län","2021",54003,"motorcycles"
"Västra Götalands län","2022",54006,"motorcycles"
"Västra Götalands län","2002",3088,"mopeds class 1"
"Västra Götalands län","2003",4413,"mopeds class 1"
"Västra Götalands län","2004",7242,"mopeds class 1"
"Västra Götalands län","2005",10597,"mopeds class 1"
"Västra Götalands län","2006",14382,"mopeds class 1"
"Västra Götalands län","2007",16790,"mopeds class 1"
"Västra Götalands län","2008",18374,"mopeds class 1"
"Västra Götalands län","2009",17888,"mopeds class 1"
"Västra Götalands län","2010",15079,"mopeds class 1"
"Västra Götalands län","2011",14496,"mopeds class 1"
"Västra Götalands län","2012",14229,"mopeds class 1"
"Västra Götalands län","2013",14503,"mopeds class 1"
"Västra Götalands län","2014",15115,"mopeds class 1"
"Västra Götalands län","2015",15676,"mopeds class 1"
"Västra Götalands län","2016",16037,"mopeds class 1"
"Västra Götalands län","2017",16550,"mopeds class 1"
"Västra Götalands län","2018",17487,"mopeds class 1"
"Västra Götalands län","2019",18773,"mopeds class 1"
"Västra Götalands län","2020",21078,"mopeds class 1"
"Västra Götalands län","2021",20751,"mopeds class 1"
"Västra Götalands län","2022",21198,"mopeds class 1"
"Västra Götalands län","2002",58525,"tractors"
"Västra Götalands län","2003",58593,"tractors"
"Västra Götalands län","2004",58653,"tractors"
"Västra Götalands län","2005",58784,"tractors"
"Västra Götalands län","2006",58647,"tractors"
"Västra Götalands län","2007",58371,"tractors"
"Västra Götalands län","2008",57909,"tractors"
"Västra Götalands län","2009",57633,"tractors"
"Västra Götalands län","2010",57666,"tractors"
"Västra Götalands län","2011",58057,"tractors"
"Västra Götalands län","2012",58178,"tractors"
"Västra Götalands län","2013",58172,"tractors"
"Västra Götalands län","2014",58428,"tractors"
"Västra Götalands län","2015",58608,"tractors"
"Västra Götalands län","2016",58950,"tractors"
"Västra Götalands län","2017",59302,"tractors"
"Västra Götalands län","2018",59749,"tractors"
"Västra Götalands län","2019",60764,"tractors"
"Västra Götalands län","2020",62170,"tractors"
"Västra Götalands län","2021",64496,"tractors"
"Västra Götalands län","2022",65737,"tractors"
"Västra Götalands län","2002",0,"snowmobiles"
"Västra Götalands län","2003",0,"snowmobiles"
"Västra Götalands län","2004",0,"snowmobiles"
"Västra Götalands län","2005",0,"snowmobiles"
"Västra Götalands län","2006",0,"snowmobiles"
"Västra Götalands län","2007",0,"snowmobiles"
"Västra Götalands län","2008",0,"snowmobiles"
"Västra Götalands län","2009",1460,"snowmobiles"
"Västra Götalands län","2010",1624,"snowmobiles"
"Västra Götalands län","2011",1623,"snowmobiles"
"Västra Götalands län","2012",1690,"snowmobiles"
"Västra Götalands län","2013",1748,"snowmobiles"
"Västra Götalands län","2014",1795,"snowmobiles"
"Västra Götalands län","2015",1837,"snowmobiles"
"Västra Götalands län","2016",1963,"snowmobiles"
"Västra Götalands län","2017",2077,"snowmobiles"
"Västra Götalands län","2018",2180,"snowmobiles"
"Västra Götalands län","2019",2295,"snowmobiles"
"Västra Götalands län","2020",2376,"snowmobiles"
"Västra Götalands län","2021",2493,"snowmobiles"
"Västra Götalands län","2022",2562,"snowmobiles"
"Västra Götalands län","2002",0,"all-terrain vehicles"
"Västra Götalands län","2003",0,"all-terrain vehicles"
"Västra Götalands län","2004",0,"all-terrain vehicles"
"Västra Götalands län","2005",0,"all-terrain vehicles"
"Västra Götalands län","2006",0,"all-terrain vehicles"
"Västra Götalands län","2007",0,"all-terrain vehicles"
"Västra Götalands län","2008",0,"all-terrain vehicles"
"Västra Götalands län","2009",6870,"all-terrain vehicles"
"Västra Götalands län","2010",7645,"all-terrain vehicles"
"Västra Götalands län","2011",8315,"all-terrain vehicles"
"Västra Götalands län","2012",9022,"all-terrain vehicles"
"Västra Götalands län","2013",9723,"all-terrain vehicles"
"Västra Götalands län","2014",10351,"all-terrain vehicles"
"Västra Götalands län","2015",10912,"all-terrain vehicles"
"Västra Götalands län","2016",11497,"all-terrain vehicles"
"Västra Götalands län","2017",11833,"all-terrain vehicles"
"Västra Götalands län","2018",12189,"all-terrain vehicles"
"Västra Götalands län","2019",12430,"all-terrain vehicles"
"Västra Götalands län","2020",12680,"all-terrain vehicles"
"Västra Götalands län","2021",12949,"all-terrain vehicles"
"Västra Götalands län","2022",13053,"all-terrain vehicles"
"Västra Götalands län","2002",3798,"cross-country scooters"
"Västra Götalands län","2003",4159,"cross-country scooters"
"Västra Götalands län","2004",4709,"cross-country scooters"
"Västra Götalands län","2005",5390,"cross-country scooters"
"Västra Götalands län","2006",6272,"cross-country scooters"
"Västra Götalands län","2007",7135,"cross-country scooters"
"Västra Götalands län","2008",7855,"cross-country scooters"
"Västra Götalands län","2009",73,"cross-country scooters"
"Västra Götalands län","2010",82,"cross-country scooters"
"Västra Götalands län","2011",86,"cross-country scooters"
"Västra Götalands län","2012",95,"cross-country scooters"
"Västra Götalands län","2013",103,"cross-country scooters"
"Västra Götalands län","2014",97,"cross-country scooters"
"Västra Götalands län","2015",93,"cross-country scooters"
"Västra Götalands län","2016",85,"cross-country scooters"
"Västra Götalands län","2017",80,"cross-country scooters"
"Västra Götalands län","2018",77,"cross-country scooters"
"Västra Götalands län","2019",77,"cross-country scooters"
"Västra Götalands län","2020",71,"cross-country scooters"
"Västra Götalands län","2021",75,"cross-country scooters"
"Västra Götalands län","2022",73,"cross-country scooters"
"Västra Götalands län","2002",116129,"trailers"
"Västra Götalands län","2003",118872,"trailers"
"Västra Götalands län","2004",122909,"trailers"
"Västra Götalands län","2005",127733,"trailers"
"Västra Götalands län","2006",132377,"trailers"
"Västra Götalands län","2007",137209,"trailers"
"Västra Götalands län","2008",141045,"trailers"
"Västra Götalands län","2009",143735,"trailers"
"Västra Götalands län","2010",146290,"trailers"
"Västra Götalands län","2011",149044,"trailers"
"Västra Götalands län","2012",151552,"trailers"
"Västra Götalands län","2013",153669,"trailers"
"Västra Götalands län","2014",157306,"trailers"
"Västra Götalands län","2015",161168,"trailers"
"Västra Götalands län","2016",165198,"trailers"
"Västra Götalands län","2017",170152,"trailers"
"Västra Götalands län","2018",174649,"trailers"
"Västra Götalands län","2019",178326,"trailers"
"Västra Götalands län","2020",183270,"trailers"
"Västra Götalands län","2021",188986,"trailers"
"Västra Götalands län","2022",192541,"trailers"
"former Älvsborg county","2002",0,"passenger cars"
"former Älvsborg county","2003",0,"passenger cars"
"former Älvsborg county","2004",0,"passenger cars"
"former Älvsborg county","2005",0,"passenger cars"
"former Älvsborg county","2006",0,"passenger cars"
"former Älvsborg county","2007",0,"passenger cars"
"former Älvsborg county","2008",0,"passenger cars"
"former Älvsborg county","2009",0,"passenger cars"
"former Älvsborg county","2010",0,"passenger cars"
"former Älvsborg county","2011",0,"passenger cars"
"former Älvsborg county","2012",0,"passenger cars"
"former Älvsborg county","2013",0,"passenger cars"
"former Älvsborg county","2014",0,"passenger cars"
"former Älvsborg county","2015",0,"passenger cars"
"former Älvsborg county","2016",0,"passenger cars"
"former Älvsborg county","2017",0,"passenger cars"
"former Älvsborg county","2018",0,"passenger cars"
"former Älvsborg county","2019",0,"passenger cars"
"former Älvsborg county","2020",0,"passenger cars"
"former Älvsborg county","2021",0,"passenger cars"
"former Älvsborg county","2022",0,"passenger cars"
"former Älvsborg county","2002",0,"light lorries"
"former Älvsborg county","2003",0,"light lorries"
"former Älvsborg county","2004",0,"light lorries"
"former Älvsborg county","2005",0,"light lorries"
"former Älvsborg county","2006",0,"light lorries"
"former Älvsborg county","2007",0,"light lorries"
"former Älvsborg county","2008",0,"light lorries"
"former Älvsborg county","2009",0,"light lorries"
"former Älvsborg county","2010",0,"light lorries"
"former Älvsborg county","2011",0,"light lorries"
"former Älvsborg county","2012",0,"light lorries"
"former Älvsborg county","2013",0,"light lorries"
"former Älvsborg county","2014",0,"light lorries"
"former Älvsborg county","2015",0,"light lorries"
"former Älvsborg county","2016",0,"light lorries"
"former Älvsborg county","2017",0,"light lorries"
"former Älvsborg county","2018",0,"light lorries"
"former Älvsborg county","2019",0,"light lorries"
"former Älvsborg county","2020",0,"light lorries"
"former Älvsborg county","2021",0,"light lorries"
"former Älvsborg county","2022",0,"light lorries"
"former Älvsborg county","2002",0,"heavy lorries"
"former Älvsborg county","2003",0,"heavy lorries"
"former Älvsborg county","2004",0,"heavy lorries"
"former Älvsborg county","2005",0,"heavy lorries"
"former Älvsborg county","2006",0,"heavy lorries"
"former Älvsborg county","2007",0,"heavy lorries"
"former Älvsborg county","2008",0,"heavy lorries"
"former Älvsborg county","2009",0,"heavy lorries"
"former Älvsborg county","2010",0,"heavy lorries"
"former Älvsborg county","2011",0,"heavy lorries"
"former Älvsborg county","2012",0,"heavy lorries"
"former Älvsborg county","2013",0,"heavy lorries"
"former Älvsborg county","2014",0,"heavy lorries"
"former Älvsborg county","2015",0,"heavy lorries"
"former Älvsborg county","2016",0,"heavy lorries"
"former Älvsborg county","2017",0,"heavy lorries"
"former Älvsborg county","2018",0,"heavy lorries"
"former Älvsborg county","2019",0,"heavy lorries"
"former Älvsborg county","2020",0,"heavy lorries"
"former Älvsborg county","2021",0,"heavy lorries"
"former Älvsborg county","2022",0,"heavy lorries"
"former Älvsborg county","2002",0,"towing vehicles"
"former Älvsborg county","2003",0,"towing vehicles"
"former Älvsborg county","2004",0,"towing vehicles"
"former Älvsborg county","2005",0,"towing vehicles"
"former Älvsborg county","2006",0,"towing vehicles"
"former Älvsborg county","2007",0,"towing vehicles"
"former Älvsborg county","2008",0,"towing vehicles"
"former Älvsborg county","2009",0,"towing vehicles"
"former Älvsborg county","2010",0,"towing vehicles"
"former Älvsborg county","2011",0,"towing vehicles"
"former Älvsborg county","2012",0,"towing vehicles"
"former Älvsborg county","2013",0,"towing vehicles"
"former Älvsborg county","2014",0,"towing vehicles"
"former Älvsborg county","2015",0,"towing vehicles"
"former Älvsborg county","2016",0,"towing vehicles"
"former Älvsborg county","2017",0,"towing vehicles"
"former Älvsborg county","2018",0,"towing vehicles"
"former Älvsborg county","2019",0,"towing vehicles"
"former Älvsborg county","2020",0,"towing vehicles"
"former Älvsborg county","2021",0,"towing vehicles"
"former Älvsborg county","2022",0,"towing vehicles"
"former Älvsborg county","2002",0,"buses"
"former Älvsborg county","2003",0,"buses"
"former Älvsborg county","2004",0,"buses"
"former Älvsborg county","2005",0,"buses"
"former Älvsborg county","2006",0,"buses"
"former Älvsborg county","2007",0,"buses"
"former Älvsborg county","2008",0,"buses"
"former Älvsborg county","2009",0,"buses"
"former Älvsborg county","2010",0,"buses"
"former Älvsborg county","2011",0,"buses"
"former Älvsborg county","2012",0,"buses"
"former Älvsborg county","2013",0,"buses"
"former Älvsborg county","2014",0,"buses"
"former Älvsborg county","2015",0,"buses"
"former Älvsborg county","2016",0,"buses"
"former Älvsborg county","2017",0,"buses"
"former Älvsborg county","2018",0,"buses"
"former Älvsborg county","2019",0,"buses"
"former Älvsborg county","2020",0,"buses"
"former Älvsborg county","2021",0,"buses"
"former Älvsborg county","2022",0,"buses"
"former Älvsborg county","2002",0,"motorcycles"
"former Älvsborg county","2003",0,"motorcycles"
"former Älvsborg county","2004",0,"motorcycles"
"former Älvsborg county","2005",0,"motorcycles"
"former Älvsborg county","2006",0,"motorcycles"
"former Älvsborg county","2007",0,"motorcycles"
"former Älvsborg county","2008",0,"motorcycles"
"former Älvsborg county","2009",0,"motorcycles"
"former Älvsborg county","2010",0,"motorcycles"
"former Älvsborg county","2011",0,"motorcycles"
"former Älvsborg county","2012",0,"motorcycles"
"former Älvsborg county","2013",0,"motorcycles"
"former Älvsborg county","2014",0,"motorcycles"
"former Älvsborg county","2015",0,"motorcycles"
"former Älvsborg county","2016",0,"motorcycles"
"former Älvsborg county","2017",0,"motorcycles"
"former Älvsborg county","2018",0,"motorcycles"
"former Älvsborg county","2019",0,"motorcycles"
"former Älvsborg county","2020",0,"motorcycles"
"former Älvsborg county","2021",0,"motorcycles"
"former Älvsborg county","2022",0,"motorcycles"
"former Älvsborg county","2002",0,"mopeds class 1"
"former Älvsborg county","2003",0,"mopeds class 1"
"former Älvsborg county","2004",0,"mopeds class 1"
"former Älvsborg county","2005",0,"mopeds class 1"
"former Älvsborg county","2006",0,"mopeds class 1"
"former Älvsborg county","2007",0,"mopeds class 1"
"former Älvsborg county","2008",0,"mopeds class 1"
"former Älvsborg county","2009",0,"mopeds class 1"
"former Älvsborg county","2010",0,"mopeds class 1"
"former Älvsborg county","2011",0,"mopeds class 1"
"former Älvsborg county","2012",0,"mopeds class 1"
"former Älvsborg county","2013",0,"mopeds class 1"
"former Älvsborg county","2014",0,"mopeds class 1"
"former Älvsborg county","2015",0,"mopeds class 1"
"former Älvsborg county","2016",0,"mopeds class 1"
"former Älvsborg county","2017",0,"mopeds class 1"
"former Älvsborg county","2018",0,"mopeds class 1"
"former Älvsborg county","2019",0,"mopeds class 1"
"former Älvsborg county","2020",0,"mopeds class 1"
"former Älvsborg county","2021",0,"mopeds class 1"
"former Älvsborg county","2022",0,"mopeds class 1"
"former Älvsborg county","2002",0,"tractors"
"former Älvsborg county","2003",0,"tractors"
"former Älvsborg county","2004",0,"tractors"
"former Älvsborg county","2005",0,"tractors"
"former Älvsborg county","2006",0,"tractors"
"former Älvsborg county","2007",0,"tractors"
"former Älvsborg county","2008",0,"tractors"
"former Älvsborg county","2009",0,"tractors"
"former Älvsborg county","2010",0,"tractors"
"former Älvsborg county","2011",0,"tractors"
"former Älvsborg county","2012",0,"tractors"
"former Älvsborg county","2013",0,"tractors"
"former Älvsborg county","2014",0,"tractors"
"former Älvsborg county","2015",0,"tractors"
"former Älvsborg county","2016",0,"tractors"
"former Älvsborg county","2017",0,"tractors"
"former Älvsborg county","2018",0,"tractors"
"former Älvsborg county","2019",0,"tractors"
"former Älvsborg county","2020",0,"tractors"
"former Älvsborg county","2021",0,"tractors"
"former Älvsborg county","2022",0,"tractors"
"former Älvsborg county","2002",0,"snowmobiles"
"former Älvsborg county","2003",0,"snowmobiles"
"former Älvsborg county","2004",0,"snowmobiles"
"former Älvsborg county","2005",0,"snowmobiles"
"former Älvsborg county","2006",0,"snowmobiles"
"former Älvsborg county","2007",0,"snowmobiles"
"former Älvsborg county","2008",0,"snowmobiles"
"former Älvsborg county","2009",0,"snowmobiles"
"former Älvsborg county","2010",0,"snowmobiles"
"former Älvsborg county","2011",0,"snowmobiles"
"former Älvsborg county","2012",0,"snowmobiles"
"former Älvsborg county","2013",0,"snowmobiles"
"former Älvsborg county","2014",0,"snowmobiles"
"former Älvsborg county","2015",0,"snowmobiles"
"former Älvsborg county","2016",0,"snowmobiles"
"former Älvsborg county","2017",0,"snowmobiles"
"former Älvsborg county","2018",0,"snowmobiles"
"former Älvsborg county","2019",0,"snowmobiles"
"former Älvsborg county","2020",0,"snowmobiles"
"former Älvsborg county","2021",0,"snowmobiles"
"former Älvsborg county","2022",0,"snowmobiles"
"former Älvsborg county","2002",0,"all-terrain vehicles"
"former Älvsborg county","2003",0,"all-terrain vehicles"
"former Älvsborg county","2004",0,"all-terrain vehicles"
"former Älvsborg county","2005",0,"all-terrain vehicles"
"former Älvsborg county","2006",0,"all-terrain vehicles"
"former Älvsborg county","2007",0,"all-terrain vehicles"
"former Älvsborg county","2008",0,"all-terrain vehicles"
"former Älvsborg county","2009",0,"all-terrain vehicles"
"former Älvsborg county","2010",0,"all-terrain vehicles"
"former Älvsborg county","2011",0,"all-terrain vehicles"
"former Älvsborg county","2012",0,"all-terrain vehicles"
"former Älvsborg county","2013",0,"all-terrain vehicles"
"former Älvsborg county","2014",0,"all-terrain vehicles"
"former Älvsborg county","2015",0,"all-terrain vehicles"
"former Älvsborg county","2016",0,"all-terrain vehicles"
"former Älvsborg county","2017",0,"all-terrain vehicles"
"former Älvsborg county","2018",0,"all-terrain vehicles"
"former Älvsborg county","2019",0,"all-terrain vehicles"
"former Älvsborg county","2020",0,"all-terrain vehicles"
"former Älvsborg county","2021",0,"all-terrain vehicles"
"former Älvsborg county","2022",0,"all-terrain vehicles"
"former Älvsborg county","2002",0,"cross-country scooters"
"former Älvsborg county","2003",0,"cross-country scooters"
"former Älvsborg county","2004",0,"cross-country scooters"
"former Älvsborg county","2005",0,"cross-country scooters"
"former Älvsborg county","2006",0,"cross-country scooters"
"former Älvsborg county","2007",0,"cross-country scooters"
"former Älvsborg county","2008",0,"cross-country scooters"
"former Älvsborg county","2009",0,"cross-country scooters"
"former Älvsborg county","2010",0,"cross-country scooters"
"former Älvsborg county","2011",0,"cross-country scooters"
"former Älvsborg county","2012",0,"cross-country scooters"
"former Älvsborg county","2013",0,"cross-country scooters"
"former Älvsborg county","2014",0,"cross-country scooters"
"former Älvsborg county","2015",0,"cross-country scooters"
"former Älvsborg county","2016",0,"cross-country scooters"
"former Älvsborg county","2017",0,"cross-country scooters"
"former Älvsborg county","2018",0,"cross-country scooters"
"former Älvsborg county","2019",0,"cross-country scooters"
"former Älvsborg county","2020",0,"cross-country scooters"
"former Älvsborg county","2021",0,"cross-country scooters"
"former Älvsborg county","2022",0,"cross-country scooters"
"former Älvsborg county","2002",0,"trailers"
"former Älvsborg county","2003",0,"trailers"
"former Älvsborg county","2004",0,"trailers"
"former Älvsborg county","2005",0,"trailers"
"former Älvsborg county","2006",0,"trailers"
"former Älvsborg county","2007",0,"trailers"
"former Älvsborg county","2008",0,"trailers"
"former Älvsborg county","2009",0,"trailers"
"former Älvsborg county","2010",0,"trailers"
"former Älvsborg county","2011",0,"trailers"
"former Älvsborg county","2012",0,"trailers"
"former Älvsborg county","2013",0,"trailers"
"former Älvsborg county","2014",0,"trailers"
"former Älvsborg county","2015",0,"trailers"
"former Älvsborg county","2016",0,"trailers"
"former Älvsborg county","2017",0,"trailers"
"former Älvsborg county","2018",0,"trailers"
"former Älvsborg county","2019",0,"trailers"
"former Älvsborg county","2020",0,"trailers"
"former Älvsborg county","2021",0,"trailers"
"former Älvsborg county","2022",0,"trailers"
"former Skaraborg county","2002",0,"passenger cars"
"former Skaraborg county","2003",0,"passenger cars"
"former Skaraborg county","2004",0,"passenger cars"
"former Skaraborg county","2005",0,"passenger cars"
"former Skaraborg county","2006",0,"passenger cars"
"former Skaraborg county","2007",0,"passenger cars"
"former Skaraborg county","2008",0,"passenger cars"
"former Skaraborg county","2009",0,"passenger cars"
"former Skaraborg county","2010",0,"passenger cars"
"former Skaraborg county","2011",0,"passenger cars"
"former Skaraborg county","2012",0,"passenger cars"
"former Skaraborg county","2013",0,"passenger cars"
"former Skaraborg county","2014",0,"passenger cars"
"former Skaraborg county","2015",0,"passenger cars"
"former Skaraborg county","2016",0,"passenger cars"
"former Skaraborg county","2017",0,"passenger cars"
"former Skaraborg county","2018",0,"passenger cars"
"former Skaraborg county","2019",0,"passenger cars"
"former Skaraborg county","2020",0,"passenger cars"
"former Skaraborg county","2021",0,"passenger cars"
"former Skaraborg county","2022",0,"passenger cars"
"former Skaraborg county","2002",0,"light lorries"
"former Skaraborg county","2003",0,"light lorries"
"former Skaraborg county","2004",0,"light lorries"
"former Skaraborg county","2005",0,"light lorries"
"former Skaraborg county","2006",0,"light lorries"
"former Skaraborg county","2007",0,"light lorries"
"former Skaraborg county","2008",0,"light lorries"
"former Skaraborg county","2009",0,"light lorries"
"former Skaraborg county","2010",0,"light lorries"
"former Skaraborg county","2011",0,"light lorries"
"former Skaraborg county","2012",0,"light lorries"
"former Skaraborg county","2013",0,"light lorries"
"former Skaraborg county","2014",0,"light lorries"
"former Skaraborg county","2015",0,"light lorries"
"former Skaraborg county","2016",0,"light lorries"
"former Skaraborg county","2017",0,"light lorries"
"former Skaraborg county","2018",0,"light lorries"
"former Skaraborg county","2019",0,"light lorries"
"former Skaraborg county","2020",0,"light lorries"
"former Skaraborg county","2021",0,"light lorries"
"former Skaraborg county","2022",0,"light lorries"
"former Skaraborg county","2002",0,"heavy lorries"
"former Skaraborg county","2003",0,"heavy lorries"
"former Skaraborg county","2004",0,"heavy lorries"
"former Skaraborg county","2005",0,"heavy lorries"
"former Skaraborg county","2006",0,"heavy lorries"
"former Skaraborg county","2007",0,"heavy lorries"
"former Skaraborg county","2008",0,"heavy lorries"
"former Skaraborg county","2009",0,"heavy lorries"
"former Skaraborg county","2010",0,"heavy lorries"
"former Skaraborg county","2011",0,"heavy lorries"
"former Skaraborg county","2012",0,"heavy lorries"
"former Skaraborg county","2013",0,"heavy lorries"
"former Skaraborg county","2014",0,"heavy lorries"
"former Skaraborg county","2015",0,"heavy lorries"
"former Skaraborg county","2016",0,"heavy lorries"
"former Skaraborg county","2017",0,"heavy lorries"
"former Skaraborg county","2018",0,"heavy lorries"
"former Skaraborg county","2019",0,"heavy lorries"
"former Skaraborg county","2020",0,"heavy lorries"
"former Skaraborg county","2021",0,"heavy lorries"
"former Skaraborg county","2022",0,"heavy lorries"
"former Skaraborg county","2002",0,"towing vehicles"
"former Skaraborg county","2003",0,"towing vehicles"
"former Skaraborg county","2004",0,"towing vehicles"
"former Skaraborg county","2005",0,"towing vehicles"
"former Skaraborg county","2006",0,"towing vehicles"
"former Skaraborg county","2007",0,"towing vehicles"
"former Skaraborg county","2008",0,"towing vehicles"
"former Skaraborg county","2009",0,"towing vehicles"
"former Skaraborg county","2010",0,"towing vehicles"
"former Skaraborg county","2011",0,"towing vehicles"
"former Skaraborg county","2012",0,"towing vehicles"
"former Skaraborg county","2013",0,"towing vehicles"
"former Skaraborg county","2014",0,"towing vehicles"
"former Skaraborg county","2015",0,"towing vehicles"
"former Skaraborg county","2016",0,"towing vehicles"
"former Skaraborg county","2017",0,"towing vehicles"
"former Skaraborg county","2018",0,"towing vehicles"
"former Skaraborg county","2019",0,"towing vehicles"
"former Skaraborg county","2020",0,"towing vehicles"
"former Skaraborg county","2021",0,"towing vehicles"
"former Skaraborg county","2022",0,"towing vehicles"
"former Skaraborg county","2002",0,"buses"
"former Skaraborg county","2003",0,"buses"
"former Skaraborg county","2004",0,"buses"
"former Skaraborg county","2005",0,"buses"
"former Skaraborg county","2006",0,"buses"
"former Skaraborg county","2007",0,"buses"
"former Skaraborg county","2008",0,"buses"
"former Skaraborg county","2009",0,"buses"
"former Skaraborg county","2010",0,"buses"
"former Skaraborg county","2011",0,"buses"
"former Skaraborg county","2012",0,"buses"
"former Skaraborg county","2013",0,"buses"
"former Skaraborg county","2014",0,"buses"
"former Skaraborg county","2015",0,"buses"
"former Skaraborg county","2016",0,"buses"
"former Skaraborg county","2017",0,"buses"
"former Skaraborg county","2018",0,"buses"
"former Skaraborg county","2019",0,"buses"
"former Skaraborg county","2020",0,"buses"
"former Skaraborg county","2021",0,"buses"
"former Skaraborg county","2022",0,"buses"
"former Skaraborg county","2002",0,"motorcycles"
"former Skaraborg county","2003",0,"motorcycles"
"former Skaraborg county","2004",0,"motorcycles"
"former Skaraborg county","2005",0,"motorcycles"
"former Skaraborg county","2006",0,"motorcycles"
"former Skaraborg county","2007",0,"motorcycles"
"former Skaraborg county","2008",0,"motorcycles"
"former Skaraborg county","2009",0,"motorcycles"
"former Skaraborg county","2010",0,"motorcycles"
"former Skaraborg county","2011",0,"motorcycles"
"former Skaraborg county","2012",0,"motorcycles"
"former Skaraborg county","2013",0,"motorcycles"
"former Skaraborg county","2014",0,"motorcycles"
"former Skaraborg county","2015",0,"motorcycles"
"former Skaraborg county","2016",0,"motorcycles"
"former Skaraborg county","2017",0,"motorcycles"
"former Skaraborg county","2018",0,"motorcycles"
"former Skaraborg county","2019",0,"motorcycles"
"former Skaraborg county","2020",0,"motorcycles"
"former Skaraborg county","2021",0,"motorcycles"
"former Skaraborg county","2022",0,"motorcycles"
"former Skaraborg county","2002",0,"mopeds class 1"
"former Skaraborg county","2003",0,"mopeds class 1"
"former Skaraborg county","2004",0,"mopeds class 1"
"former Skaraborg county","2005",0,"mopeds class 1"
"former Skaraborg county","2006",0,"mopeds class 1"
"former Skaraborg county","2007",0,"mopeds class 1"
"former Skaraborg county","2008",0,"mopeds class 1"
"former Skaraborg county","2009",0,"mopeds class 1"
"former Skaraborg county","2010",0,"mopeds class 1"
"former Skaraborg county","2011",0,"mopeds class 1"
"former Skaraborg county","2012",0,"mopeds class 1"
"former Skaraborg county","2013",0,"mopeds class 1"
"former Skaraborg county","2014",0,"mopeds class 1"
"former Skaraborg county","2015",0,"mopeds class 1"
"former Skaraborg county","2016",0,"mopeds class 1"
"former Skaraborg county","2017",0,"mopeds class 1"
"former Skaraborg county","2018",0,"mopeds class 1"
"former Skaraborg county","2019",0,"mopeds class 1"
"former Skaraborg county","2020",0,"mopeds class 1"
"former Skaraborg county","2021",0,"mopeds class 1"
"former Skaraborg county","2022",0,"mopeds class 1"
"former Skaraborg county","2002",0,"tractors"
"former Skaraborg county","2003",0,"tractors"
"former Skaraborg county","2004",0,"tractors"
"former Skaraborg county","2005",0,"tractors"
"former Skaraborg county","2006",0,"tractors"
"former Skaraborg county","2007",0,"tractors"
"former Skaraborg county","2008",0,"tractors"
"former Skaraborg county","2009",0,"tractors"
"former Skaraborg county","2010",0,"tractors"
"former Skaraborg county","2011",0,"tractors"
"former Skaraborg county","2012",0,"tractors"
"former Skaraborg county","2013",0,"tractors"
"former Skaraborg county","2014",0,"tractors"
"former Skaraborg county","2015",0,"tractors"
"former Skaraborg county","2016",0,"tractors"
"former Skaraborg county","2017",0,"tractors"
"former Skaraborg county","2018",0,"tractors"
"former Skaraborg county","2019",0,"tractors"
"former Skaraborg county","2020",0,"tractors"
"former Skaraborg county","2021",0,"tractors"
"former Skaraborg county","2022",0,"tractors"
"former Skaraborg county","2002",0,"snowmobiles"
"former Skaraborg county","2003",0,"snowmobiles"
"former Skaraborg county","2004",0,"snowmobiles"
"former Skaraborg county","2005",0,"snowmobiles"
"former Skaraborg county","2006",0,"snowmobiles"
"former Skaraborg county","2007",0,"snowmobiles"
"former Skaraborg county","2008",0,"snowmobiles"
"former Skaraborg county","2009",0,"snowmobiles"
"former Skaraborg county","2010",0,"snowmobiles"
"former Skaraborg county","2011",0,"snowmobiles"
"former Skaraborg county","2012",0,"snowmobiles"
"former Skaraborg county","2013",0,"snowmobiles"
"former Skaraborg county","2014",0,"snowmobiles"
"former Skaraborg county","2015",0,"snowmobiles"
"former Skaraborg county","2016",0,"snowmobiles"
"former Skaraborg county","2017",0,"snowmobiles"
"former Skaraborg county","2018",0,"snowmobiles"
"former Skaraborg county","2019",0,"snowmobiles"
"former Skaraborg county","2020",0,"snowmobiles"
"former Skaraborg county","2021",0,"snowmobiles"
"former Skaraborg county","2022",0,"snowmobiles"
"former Skaraborg county","2002",0,"all-terrain vehicles"
"former Skaraborg county","2003",0,"all-terrain vehicles"
"former Skaraborg county","2004",0,"all-terrain vehicles"
